0.367805,0.194545
0.426012,0.189205
0.266916,0.441015
0.447485,0.437765
0.293612,0.396191
0.364428,0.114634
0.0893055,0.457543
0.300267,0.478271
0.503662,0.210301
0.0654788,0.299094
0.343475,0.222658
0.477113,0.464453
0.244075,0.0741754
0.35644,0.0222337
0.515762,0.0894967
0.203948,0.168844
0.467264,0.104169
0.297812,0.493179
0.420738,0.467648
0.743429,0.620326
0.721365,0.903855
0.803486,0.522924
0.740628,0.651883
0.748371,0.912901
0.859798,0.524358
0.735584,0.540222
0.798004,0.515856
0.726774,0.76427
0.982925,0.555932
0.692617,0.93404
0.863289,0.813941
0.620522,0.510312
0.641953,0.892574
0.908726,0.743463
0.593158,0.841158
0.624115,0.954351
