0.406066,0.210492
0.258119,0.325563
0.302057,0.155351
0.313607,0.303654
0.438742,0.155605
0.185611,0.482148
0.125621,0.370816
0.424203,0.352881
0.239693,0.228649
0.347547,0.221135
0.0752747,0.240155
0.340652,0.177992
0.166285,0.368541
0.190943,0.356222
0.250183,0.562548
0.273785,0.142875
0.317697,0.256459
0.394619,0.522299
0.535385,0.214893
0.456478,0.658222
0.622227,0.811286
0.797588,0.495931
0.573527,0.658938
0.819945,0.666702
0.44178,0.64388
0.924157,0.469825
0.587174,0.837811
0.511519,0.700838
0.591302,0.887883
0.957683,0.538892
0.797632,0.571486
0.534689,0.879074
0.746067,0.785248
0.574122,0.817095
0.448169,0.705496
0.515819,0.732962
